CONTENTS,STATE,GROUP,YEAR,SUB,POP,AGENCY,OFFENSE,OCCUR,MALE0_9,MALE10_12,MALE13_14,MALE15,MALE16,MALE17,MALE18,MALE19,MALE20,MALE21,MALE22,MALE23,MALE24,MALE25_29,MALE30_34,MALE35_39,MALE40_44,MALE45_49,MALE50_54,MALE55_59,MALE60_64,MALE65,ADULT_WHITE,ADULT_BLACK,ADULT_INDIAN,ADULT_ASIAN,JUVENILE_WHITE,JUVENILE_BLACK,JUVENILE_INDIAN,JUVENILE_ASIAN,ADULT_HISPANIC,ADULT_NONHISPANIC,JUVENILE_HISPANIC,JUVENILE_NONHISPANIC,TOTAL,MALE_TOTAL,FEMALE_TOTAL,ADULT_MALE,ADULT_FEMALE,JUVENILE_MALE,JUVENILE_FEMALE,ADULT_TOTAL,JUVENILE_TOTAL,10_14years ,15-19years ,20-24years ,Gender 
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Other assaults,,0,22,116,141,155,140,114,98,98,112,106,126,110,491,331,217,154,152,113,66,29,12,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,138,648,552,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Arson,,0,0,0,0,0,0,0,0,2,0,0,0,1,2,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,3,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Forgery and counterfeiting,,0,0,0,0,0,0,3,0,0,3,3,3,4,6,6,4,2,1,3,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3,13,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Fraud,,0,0,0,0,0,1,1,3,4,2,2,3,6,13,8,2,1,3,1,2,1,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,5,17,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Vandalism,,0,3,7,7,11,11,18,20,18,18,23,16,18,96,52,37,18,18,11,6,0,1,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,10,67,93,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,"Weapons-carry, posses, etc",,0,4,4,4,8,9,12,11,8,13,11,6,6,26,13,9,9,2,2,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,8,44,44,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Prostitution and commercialized vice,,0,0,0,0,0,0,0,4,4,3,4,3,5,23,25,13,18,10,3,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4,19,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Sex offenses (not rape or prostitution),,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,2,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,2,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Total drug abuse violations,,0,3,12,13,13,34,39,44,34,46,36,36,33,203,152,119,133,196,166,85,24,3,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,15,143,185,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Gambling (total),,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Offenses against family and children,,0,0,0,0,1,0,1,1,3,4,5,5,5,28,8,8,5,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3,22,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Driving under the influence,,0,0,0,0,0,1,6,5,4,14,18,22,25,102,77,59,37,30,14,15,3,2,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,12,83,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Liquor laws,,0,0,0,0,0,0,4,1,2,0,0,0,1,1,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,5,3,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Disorderly conduct,,0,5,38,69,67,45,22,11,14,11,12,15,11,46,30,28,12,14,12,2,1,2,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,43,214,63,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,All other non-traffic offenses,,0,2,19,26,43,45,44,43,39,44,29,34,38,151,112,77,72,66,57,43,28,7,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,21,201,184,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Murder and non-negligent manslaughter,,0,0,1,2,0,1,1,1,4,0,1,2,0,4,1,0,1,3,3,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,5,7,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Manslaughter by negligence,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,1,Female
